title,studio,domestic_gross,foreign_gross,grand_total_gross,year
The Amazing Spider-Man,Sony,262000000,495900000,757900000,2012
Fantastic Beasts: The Crimes of Grindelwald,WB,159600000,494100000,653700000,2018
Interstellar,Par.,188000000,489400000,677400000,2014
Mission: Impossible - Rogue Nation,Par.,195000000,487700000,682700000,2015
Mission: Impossible - Ghost Protocol,Par.,209400000,485300000,694700000,2011
Life of Pi,Fox,125000000,484000000,609000000,2012
Monsters University,BV,268500000,475700000,744200000,2013
Transformers: The Last Knight,Par.,130199999,475300000,605499999,2017
Guardians of the Galaxy Vol. 2,BV,389800000,473900000,863700000,2017
Deadpool 2,Fox,318500000,460500000,779000000,2018
Captain America: The Winter Soldier,BV,259800000,454500000,714300000,2014
Gravity,WB,274100000,449100000,723200000,2013
Ready Player One,WB,137700000,445200000,582900000,2018
Doctor Strange,BV,232600000,445100000,677700000,2016
MIB 3,Sony,179000000,445000000,624000000,2012
How to Train Your Dragon 2,Fox,177000000,444500000,621500000,2014
The Hunger Games: Catching Fire,LGF,424700000,440300000,865000000,2013
Guardians of the Galaxy,BV,333200000,440200000,773400000,2014
Thor: The Dark World,BV,206400000,438200000,644600000,2013
Big Hero 6,BV,222500000,435300000,657800000,2014
The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000,430900000,712200000,2011
Justice League,WB,229000000,428900000,657900000,2017
Suicide Squad,WB,325100000,421700000,746800000,2016
The Smurfs,Sony,142600000,421100000,563700000,2011
Deadpool,Fox,363100000,420000000,783100000,2016
The Hunger Games: Mockingjay - Part 1,LGF,337100000,418200000,755300000,2014
The Intouchables (U.S.-only),Wein.,10200000,416400000,426600000,2012
Fast Five,Uni.,209800000,416300000,626100000,2011
Wonder Woman,WB,412600000,409300000,821900000,2017
Ant-Man and the Wasp,BV,216600000,406000000,622600000,2018
Puss in Boots,P/DW,149300000,405700000,555000000,2011
Fifty Shades of Grey,Uni.,166200000,404800000,571000000,2015
The Martian,Fox,228400000,401700000,630100000,2015
The Croods,Fox,187200000,400000000,587200000,2013
Kong: Skull Island,WB,168100000,398600000,566700000,2017
The Twilight Saga: Eclipse,Sum.,300500000,398000000,698500000,2010
Moana,BV,248800000,394600000,643400000,2016
Logan (2017),Fox,226300000,392700000,619000000,2017
Tangled,BV,200800000,391000000,591800000,2010
X-Men: Apocalypse,Fox,155400000,388500000,543900000,2016
Warcraft,Uni.,47400000,386300000,433700000,2016
Monster Hunt,FR,32800,385300000,385332800,2016
The Meg,WB,145400000,384800000,530200000,2018
Kung Fu Panda 3,Fox,143500000,377600000,521100000,2016
Man of Steel,WB,291000000,377000000,668000000,2013
It,WB (NL),327500000,372900000,700400000,2017
The Hunger Games: Mockingjay - Part 2,LGF,281700000,371700000,653400000,2015
Cars 2,BV,191500000,370700000,562200000,2011
Rio 2,Fox,131500000,368600000,500100000,2014
Sing,Uni.,270400000,363800000,634200000,2016
Hotel Transylvania 3: Summer Vacation,Sony,167500000,361100000,528600000,2018
Monster Hunt 2,LGF,706000,361000000,361706000,2018
Sherlock Holmes: A Game of Shadows,WB,186800000,358600000,545400000,2011
The Boss Baby,Fox,175000000,353000000,528000000,2017
Your Name.,FUN,5000000,353000000,358000000,2017
Terminator: Genisys,Par.,89800000,350800000,440600000,2015
The Revenant,Fox,183600000,349300000,532900000,2015
Ice Age: Collision Course,Fox,64099999,344500000,408599999,2016
War for the Planet of the Apes,Fox,146900000,343800000,490700000,2017
Cinderella (2015),BV,201200000,342400000,543600000,2015
Rio,Fox,143600000,341000000,484600000,2011
Bumblebee,Par.,127200000,340800000,468000000,2018
Ant-Man,BV,180200000,339100000,519300000,2015
World War Z,Par.,202400000,337600000,540000000,2013
Dunkirk,WB,188000000,337200000,525200000,2017
Lucy,Uni.,126700000,336700000,463400000,2014
The Hangover Part II,WB,254500000,332300000,586800000,2011
Ted,Uni.,218800000,330600000,549400000,2012
Clash of the Titans (2010),WB,163200000,330000000,493200000,2010
The Mummy (2017),Uni.,80200000,329000000,409200000,2017
Godzilla (2014),WB,200700000,328400000,529100000,2014
Ralph Breaks the Internet,BV,201100000,328100000,529200000,2018
Rampage (2018),WB (NL),101000000,327000000,428000000,2018
San Andreas,WB (NL),155200000,318800000,474000000,2015
Iron Man 2,Par.,312400000,311500000,623900000,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000,311300000,415700000,2010
Kingsman: The Golden Circle,Fox,100200000,310700000,410900000,2017
Pacific Rim,WB,101800000,309200000,411000000,2013
Hotel Transylvania 2,Sony,169700000,305100000,474800000,2015
Rise of the Planet of the Apes,Fox,176800000,305000000,481800000,2011
Brave,BV,237300000,303200000,540500000,2012
Teenage Mutant Ninja Turtles (2014),Par.,191200000,302100000,493300000,2014
xXx: The Return of Xander Cage,Par.,44900000,301200000,346100000,2017
The Adventures of Tintin,Par.,77600000,296400000,374000000,2011
La La Land,LG/S,151100000,295000000,446100000,2016
Les Miserables (2012),Uni.,148800000,293000000,441800000,2012
Despicable Me,Uni.,251500000,291600000,543100000,2010
Dangal,UTV,12400000,290500000,302900000,2016
Penguins of Madagascar,Fox,83400000,289700000,373100000,2014
The Great Wall,Uni.,45500000,289400000,334900000,2017
Independence Day: Resurgence,Fox,103100000,286500000,389600000,2016
The Hunger Games,LGF,408000000,286400000,694400000,2012
Kingsman: The Secret Service,Fox,128300000,286100000,414400000,2015
Titanic 3D,Par.,57900000,285700000,343600000,2012
Resident Evil: The Final Chapter,SGem,26800000,285400000,312200000,2017
The Wolverine,Fox,132600000,282300000,414900000,2013
Wreck-It Ralph,BV,189400000,281800000,471200000,2012
How to Train Your Dragon,P/DW,217600000,277300000,494900000,2010
Prometheus,Fox,126500000,276900000,403400000,2012
The Smurfs 2,Sony,71000000,276500000,347500000,2013
The King's Speech,Wein.,135500000,275400000,410900000,2010
The Wolf of Wall Street,Par.,116900000,275100000,392000000,2013
Mamma Mia! Here We Go Again,Uni.,120600000,274400000,395000000,2018
Fifty Shades Freed,Uni.,100400000,271500000,371900000,2018
Edge of Tomorrow,WB,100200000,270300000,370500000,2014
Now You See Me 2,LG/S,65099999,269800000,334899999,2016
Thor,Par.,181000000,268300000,449300000,2011
Fifty Shades Darker,Uni.,114600000,267000000,381600000,2017
Django Unchained,Wein.,162800000,262600000,425400000,2012
Noah,Par.,101200000,261399999,362599999,2014
The Greatest Showman,Fox,174300000,260700000,435000000,2017
Oz The Great and Powerful,BV,234900000,258399999,493299999,2013
Mojin: The Lost Legend,WGUSA,1200000,258100000,259300000,2015
Lost in Hong Kong,WGUSA,1300000,255000000,256300000,2015
Kung Fu Yoga,WGUSA,363000,253800000,254163000,2017
G.I. Joe: Retaliation,Par.,122500000,253200000,375700000,2013
Jason Bourne,Uni.,162400000,253100000,415500000,2016
Murder on the Orient Express (2017),Fox,102800000,250000000,352800000,2017
The Hangover Part III,WB,112200000,249800000,362000000,2013
Night at the Museum: Secret of the Tomb,Fox,113700000,249500000,363200000,2014
The Nun,WB (NL),117500000,248100000,365600000,2018
The Maze Runner,Fox,102400000,245900000,348300000,2014
Journey to the West: The Demons Strike Back,Sony,880000,245700000,246580000,2017
Prince of Persia: The Sands of Time,BV,90800000,245600000,336400000,2010
The Angry Birds Movie,Sony,107500000,244800000,352300000,2016
Snow White and the Huntsman,Uni.,155300000,241300000,396600000,2012
Dr. Seuss' The Grinch (2018),Uni.,270600000,241000000,511600000,2018
Resident Evil: Afterlife,SGem,60100000,240100000,300200000,2010
Star Trek Into Darkness,Par.,228800000,238600000,467400000,2013
Battleship,Uni.,65400000,237600000,303000000,2012
A Good Day to Die Hard,Fox,67300000,237300000,304600000,2013
Taken 3,Fox,89300000,237200000,326500000,2015
Skyscraper,Uni.,68400000,236400000,304800000,2018
Taken 2,Fox,139900000,236300000,376200000,2012
Peter Rabbit,Sony,115300000,236000000,351300000,2018
Green Book,Uni.,85100000,234700000,319800000,2018
Now You See Me,LG/S,117700000,234000000,351700000,2013
Baahubali 2: The Conclusion,GrtIndia,20200000,234000000,254200000,2017
Journey 2: The Mysterious Island,WB (NL),103900000,231400000,335300000,2012
Pacific Rim Uprising,Uni.,59900000,231100000,291000000,2018
Cars 3,BV,152900000,231000000,383900000,2017
300: Rise of An Empire,WB,106600000,231000000,337600000,2014
Maze Runner: The Scorch Trials,Fox,81700000,230600000,312300000,2015
Maze Runner: The Death Cure,Fox,58000000,230200000,288200000,2018
The Legend of Tarzan,WB,126600000,230100000,356700000,2016
The Expendables 2,LGF,85000000,229900000,314900000,2012
Tron Legacy,BV,172100000,228000000,400100000,2010
Goodbye Mr. Loser,CL,1300000,226800000,228100000,2015
Mad Max: Fury Road,WB,153600000,224800000,378400000,2015
Black Swan,FoxS,107000000,222400000,329400000,2010
Alice Through the Looking Glass,BV,77000000,222400000,299400000,2016
Wrath of the Titans,WB,83700000,221600000,305300000,2012
A Star is Born (2018),WB,215300000,218900000,434200000,2018
The Conjuring 2,WB (NL),102500000,217900000,320400000,2016
Robin Hood,Uni.,105300000,216400000,321700000,2010
Tomb Raider,WB,58300000,216400000,274700000,2018
Real Steel,BV,85500000,213800000,299300000,2011
Ferdinand,Fox,84400000,211700000,296100000,2017
The LEGO Movie,WB,257800000,211400000,469200000,2014
John Carter,BV,73100000,211100000,284200000,2012
The Tourist,Sony,67600000,210700000,278300000,2010
Hotel Transylvania,Sony,148300000,210100000,358400000,2012
Alvin and the Chipmunks: Chipwrecked,Fox,133100000,209600000,342700000,2011
Miss Peregrine's Home for Peculiar Children,Fox,87200000,209200000,296400000,2016
The Good Dinosaur,BV,123100000,209100000,332200000,2015
The Great Gatsby (2013),WB,144800000,208800000,353600000,2013
Home (2015),Fox,177400000,208600000,386000000,2015
X-Men: First Class,Fox,146400000,207200000,353600000,2011
Journey to the West,Magn.,18100,205600000,205618100,2014
Annabelle: Creation,WB (NL),102100000,204400000,306500000,2017
Rise of the Guardians,P/DW,103400000,203500000,306900000,2012
Exodus: Gods and Kings,Fox,65000000,203200000,268200000,2014
Passengers (2016),Sony,100000000,203100000,303100000,2016
Gone Girl,Fox,167800000,201600000,369400000,2014
Turbo,Fox,83000000,199500000,282500000,2013
Resident Evil: Retribution,SGem,42300000,197700000,240000000,2012
Lost in Thailand,WAMCR,57400,197700000,197757400,2013
American Sniper,WB,350100000,197300000,547400000,2014
Oblivion,Uni.,89100000,197100000,286200000,2013
Gulliver's Travels,Fox,42800000,194600000,237400000,2010
Captain America: The First Avenger,Par.,176700000,193900000,370600000,2011
Trolls,Fox,153700000,193200000,346900000,2016
Elysium,TriS,93100000,193100000,286200000,2013
Sex and the City 2,WB (NL),95300000,193000000,288300000,2010
The Monkey King 2 in 3D,CL,710000,193000000,193710000,2016
Paddington,W/Dim.,76300000,191800000,268100000,2015
Breakup Buddies,CL,778000,188200000,188978000,2014
The Last Airbender,Par.,131800000,187900000,319700000,2010
Geostorm,WB,33700000,187900000,221600000,2017
Bridget Jones's Baby,Uni.,24300000,187700000,212000000,2016
Paddington 2,WB,40900000,186400000,227300000,2018
Assassin's Creed,Fox,54600000,186300000,240900000,2016
Inferno,Sony,34300000,185700000,220000000,2016
Knight & Day,Fox,76400000,185500000,261900000,2010
Spider-Man: Into The Spider-Verse,Sony,190200000,185300000,375500000,2018
Valerian and the City of a Thousand Planets,STX,41200000,184700000,225900000,2017
Star Trek Beyond,Par.,158800000,184600000,343400000,2016
RoboCop (2014),Sony,58600000,184100000,242700000,2014
After Earth,Sony,60500000,183300000,243800000,2013
The Karate Kid,Sony,176600000,182500000,359100000,2010
The Fault in our Stars,Fox,124900000,182300000,307200000,2014
The Conjuring,WB (NL),137400000,182100000,319500000,2013
Solo: A Star Wars Story,BV,213800000,179200000,393000000,2018
American Reunion,Uni.,57000000,178000000,235000000,2012
Mary Poppins Returns,BV,172000000,177600000,349600000,2018
The Expendables 3,LGF,39300000,175300000,214600000,2014
Salt,Sony,118300000,175200000,293500000,2010
Megamind,P/DW,148400000,173500000,321900000,2010
Wonder,LGF,132400000,173500000,305900000,2017
Annabelle,WB (NL),84300000,172800000,257100000,2014
Operation Mekong,WGUSA,800000,172300000,173100000,2016
Hercules (2014),Par.,72700000,172100000,244800000,2014
The Expendables,LGF,103100000,171400000,274500000,2010
The Lone Ranger,BV,89300000,171200000,260500000,2013
Hansel and Gretel: Witch Hunters,Par.,55700000,170600000,226300000,2013
Blade Runner 2049,WB,92100000,167200000,259300000,2017
The Divergent Series: Insurgent,LG/S,130199999,167100000,297299999,2015
Shutter Island,Par.,128000000,166800000,294800000,2010
Alien: Covenant,Fox,74300000,166600000,240900000,2017
Pixels,Sony,78700000,166100000,244800000,2015
Dark Shadows,WB,79700000,165800000,245500000,2012
Mr. Peabody & Sherman,Fox,111500000,164200000,275700000,2014
Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,82100000,163600000,245700000,2016
The Bourne Legacy,Uni.,113200000,162900000,276100000,2012
The SpongeBob Movie: Sponge Out of Water,Par.,163000000,162200000,325200000,2015
Little Fockers,Uni.,148400000,162200000,310600000,2010
The Impossible,LG/S,19000000,161300000,180300000,2012
Epic,Fox,107500000,160900000,268400000,2013
Dracula Untold,Uni.,56300000,160800000,217100000,2014
Everest (2015),Uni.,43500000,159900000,203400000,2015
Need for Speed,BV,43600000,159700000,203300000,2014
Ocean's 8,WB,140200000,157500000,297700000,2018
Cloudy with a Chance of Meatballs 2,Sony,119800000,154500000,274300000,2013
Johnny English Strikes Again,Uni.,4400000,154500000,158900000,2018
Ip Man 3,WGUSA,2700000,154200000,156900000,2016
A Quiet Place,Par.,188000000,152900000,340900000,2018
Smurfs: The Lost Village,Sony,45000000,152200000,197200000,2017
The Sorcerer's Apprentice,BV,63200000,152100000,215300000,2010
Me Before You,WB (NL),56200000,152100000,208300000,2016
Johnny English Reborn,Uni.,8300000,151800000,160100000,2011
Duckweed,CL,472000,150600000,151072000,2017
Planes,BV,90300000,149000000,239300000,2013
Alvin and the Chipmunks: The Road Chip,Fox,85900000,148900000,234800000,2015
Immortals,Rela.,83500000,143400000,226900000,2011
London Has Fallen,Focus,62500000,143200000,205700000,2016
The Imitation Game,Wein.,91100000,142400000,233500000,2014
The Taking of Tiger Mountain,WGUSA,229000,141400000,141629000,2015
A Dog's Purpose,Uni.,64500000,140500000,205000000,2017
Split,Uni.,138300000,140200000,278500000,2017
22 Jump Street,Sony,191700000,139600000,331300000,2014
Total Recall (2012),Sony,58900000,139600000,198500000,2012
Jack Reacher,Par.,80100000,138300000,218400000,2012
Divergent,LG/S,150900000,137900000,288800000,2014
Mr. Six,CL,1400000,137800000,139200000,2015
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000,137700000,226500000,2010
Jupiter Ascending,WB,47400000,136600000,184000000,2015
In Time,Fox,37500000,136400000,173900000,2011
The LEGO Batman Movie,WB,175800000,136200000,312000000,2017
Ted 2,Uni.,81500000,135200000,216700000,2015
Dr. Seuss' The Lorax,Uni.,214000000,134800000,348800000,2012
Super 8,Par.,127000000,133100000,260100000,2011
Jack the Giant Slayer,WB (NL),65200000,132500000,197700000,2013
White House Down,Sony,73100000,132300000,205400000,2013
The Emoji Movie,Sony,86100000,131699999,217799999,2017
The Shape of Water,FoxS,63900000,131400000,195300000,2017
Percy Jackson: Sea of Monsters,Fox,68600000,131300000,199900000,2013
12 Years a Slave,FoxS,56700000,131100000,187800000,2013
Smallfoot,WB,83200000,130900000,214100000,2018
Non-Stop,Uni.,92200000,130600000,222800000,2014
The Girl with the Dragon Tattoo (2011),Sony,102500000,130100000,232600000,2011
The Secret Life of Walter Mitty,Fox,58200000,129900000,188100000,2013
Ghost in the Shell (2017),Par.,40600000,129199999,169799999,2017
The Green Hornet,Sony,98800000,129000000,227800000,2011
Battle: Los Angeles,Sony,83600000,128300000,211900000,2011
The Social Network,Sony,97000000,128000000,225000000,2010
The BFG,BV,55500000,127900000,183400000,2016
The Secret World of Arrietty,BV,19200000,126400000,145600000,2012
Fury (2014),Sony,85800000,126000000,211800000,2014
Wolf Totem,Sony,211000,125600000,125811000,2015
Detective Chinatown (Tang ren jie tan an),CL,474000,125400000,125874000,2016
Spy,Fox,110800000,124800000,235600000,2015
Eat Pray Love,Sony,80600000,124000000,204600000,2010
Rango,Par.,123500000,122200000,245700000,2011
Secret Superstar,,,122000000,122000000,2017
Dragon Blade,LGP,74100,121500000,121574100,2015
Neighbors,Uni.,150200000,120500000,270700000,2014
Baywatch,Par.,58100000,119800000,177900000,2017
The Dictator,Par.,59700000,119700000,179400000,2012
We're the Millers,WB (NL),150400000,119600000,270000000,2013
The Last Witch Hunter,LG/S,27400000,119600000,147000000,2015
Gods of Egypt,LG/S,31200000,119500000,150700000,2016
Bridesmaids,Uni.,169100000,119300000,288400000,2011
Baby Driver,TriS,107800000,119100000,226900000,2017
Mr. Popper's Penguins,Fox,68200000,119100000,187300000,2011
The Nutcracker and the Four Realms,BV,54900000,119100000,174000000,2018
The Intern,WB,75800000,118800000,194600000,2015
Mirror Mirror,Rela.,64900000,118100000,183000000,2012
Step Up 3-D,BV,42400000,116900000,159300000,2010
The Huntsman: Winter's War,Uni.,48400000,116600000,165000000,2016
The Peanuts Movie,Fox,130199999,116100000,246299999,2015
Bad Teacher,Sony,100300000,115900000,216200000,2011
Personal Tailor,CL,376000,115800000,116176000,2013
Sully,WB,125100000,115700000,240800000,2016
Tomorrowland,BV,93400000,115700000,209100000,2015
The Grand Budapest Hotel,FoxS,59300000,115500000,174800000,2014
Final Destination 5,WB (NL),42600000,115300000,157900000,2011
The Monkey King 3,WGUSA,187000,114900000,115087000,2018
Finding Mr. Right 2,CL,,114700000,114700000,2016
Into The Storm,WB (NL),47600000,114100000,161700000,2014
47 Ronin,Uni.,38400000,113400000,151800000,2013
Grown Ups 2,Sony,133699999,113300000,246999999,2013
The Divergent Series: Allegiant,LG/S,66200000,113100000,179300000,2016
The Other Woman (2014),Fox,83900000,112800000,196700000,2014
The Wind Rises,BV,5200000,112700000,117900000,2014
Escape Plan,LG/S,25100000,112200000,137300000,2013
Just Go With It,Sony,103000000,111900000,214900000,2011
Hugo,Par.,73900000,111900000,185800000,2011
Fantastic Four,Fox,56100000,111900000,168000000,2015
The Three Musketeers (2011),Sum.,20400000,111900000,132300000,2011
Captain Phillips,Sony,107100000,111700000,218800000,2013
Due Date,WB,100500000,111200000,211700000,2010
The Foreigner,STX,34400000,111000000,145400000,2017
Storks,WB,72700000,110700000,183400000,2016
Looper,TriS,66500000,110000000,176500000,2012
The Admiral: Roaring Currents,CJ,2600000,109600000,112200000,2014
The Predator (2018),Fox,51000000,109500000,160500000,2018
King Arthur: Legend of the Sword,WB,39200000,109500000,148700000,2017
Grown Ups,Sony,162000000,109400000,271400000,2010
Buddies in India,CL,293000,109300000,109593000,2017
Red,Sum.,90400000,108600000,199000000,2010
Hacksaw Ridge,LGF,67200000,108100000,175300000,2016
Valentine's Day,WB (NL),110500000,106000000,216500000,2010
Step Up Revolution,LG/S,35100000,105400000,140500000,2012
Focus (2015),WB,53900000,105200000,159100000,2015
Point Break (2015),WB,28800000,104900000,133700000,2015
"Three Billboards Outside Ebbing, Missouri",FoxS,54500000,104700000,159200000,2017
Red Sparrow,Fox,46900000,104700000,151600000,2018
Mechanic: Resurrection,LG/S,21200000,104500000,125700000,2016
Silver Linings Playbook,Wein.,132100000,104300000,236400000,2012
Let the Bullets Fly,Vari.,63000,104300000,104363000,2012
Jack Reacher: Never Go Back,Par.,58700000,103400000,162100000,2016
Cloud Atlas,WB,27100000,103400000,130500000,2012
Green Lantern,WB,116600000,103300000,219900000,2011
Pitch Perfect 2,Uni.,184300000,103200000,287500000,2015
Paranormal Activity 3,Par.,104000000,103000000,207000000,2011
Arrival,Par.,100500000,102800000,203300000,2016
Cold War 2,WGUSA,561000,102600000,103161000,2016
Railroad Tigers,WGUSA,218000,102000000,102218000,2017
This Means War,Fox,54800000,101700000,156500000,2012
The Hateful Eight,Wein.,54100000,101600000,155700000,2015
Yogi Bear,WB,100200000,101300000,201500000,2010
American Hustle,Sony,150100000,101100000,251200000,2013
The Hitman's Bodyguard,LG/S,75500000,101100000,176600000,2017
Arthur Christmas,Sony,46500000,101000000,147500000,2011
Ghostbusters (2016),Sony,128400000,100800000,229200000,2016
Aftershock (Tangshan Dadizhen),CL,63000,100200000,100263000,2010
Insidious: The Last Key,Uni.,67700000,100100000,167800000,2018
The A-Team,Fox,77200000,100000000,177200000,2010
Disney's Christopher Robin,BV,99200000,98500000,197700000,2018
Devil and Angel (E Gun Tian Shi),CL,131000,98500000,98631000,2015
Creed II,MGM,115700000,98300000,214000000,2018
The Post,Fox,81900000,97900000,179800000,2017
The Girl on the Train (2016),Uni.,75400000,97800000,173200000,2016
Underworld Awakening,SGem,62300000,97800000,160100000,2012
War Horse,BV,79900000,97700000,177600000,2011
Seventh Son,Uni.,17200000,97000000,114200000,2015
Argo,WB,136000000,96300000,232300000,2012
The Little Prince,EOne,1300000,96200000,97500000,2016
Halloween (2018),Uni.,159300000,96100000,255400000,2018
Some Like It Hot (Qing Shung),CL,100000,95600000,95700000,2017
I Am Number Four,BV,55100000,94800000,149900000,2011
Red 2,LG/S,53300000,94800000,148100000,2013
The Descendants,FoxS,82600000,94700000,177300000,2011
Pompeii,TriS,23200000,94600000,117800000,2014
Darkest Hour,Focus,56500000,94400000,150900000,2017
Midnight in Paris,SPC,56800000,94300000,151100000,2011
The Girl with the Dragon Tattoo,MBox,10100000,94300000,104400000,2010
Gnomeo and Juliet,BV,100000000,94000000,194000000,2011
Friends with Benefits,SGem,55800000,93700000,149500000,2011
Pan,WB,35100000,93300000,128400000,2015
Bridge of Spies,BV,72300000,93200000,165500000,2015
Lincoln,BV,182200000,93100000,275300000,2012
Paranormal Activity 2,Par.,84800000,92800000,177600000,2010
Source Code,Sum.,54700000,92600000,147300000,2011
Daddy's Home,Par.,150400000,92400000,242800000,2015
Planes: Fire & Rescue,BV,59200000,92200000,151400000,2014
Horrible Bosses,WB (NL),117500000,92100000,209600000,2011
The Pirates! Band of Misfits,Sony,31100000,92000000,123100000,2012
The Lion King (in 3D),BV,94200000,91300000,185500000,2011
The Equalizer,Sony,101500000,90800000,192300000,2014
Walking with Dinosaurs,Fox,36100000,90500000,126600000,2013
The Best Exotic Marigold Hotel,FoxS,46400000,90400000,136800000,2012
Saw 3D,LGF,45700000,90400000,136100000,2010
P.K.,UTV,10600000,89800000,100400000,2014
Central Intelligence,WB (NL),127400000,89500000,216900000,2016
Zookeeper,Sony,80400000,89500000,169900000,2011
Paranormal Activity 4,Par.,53900000,88900000,142800000,2012
The Artist,Wein.,44700000,88800000,133500000,2011
Lion,Wein.,51700000,88600000,140300000,2016
The Equalizer 2,Sony,102100000,88300000,190400000,2018
The Inbetweeners Movie,WHE,36000,88000000,88036000,2012
The Theory of Everything,Focus,35900000,87800000,123700000,2014
New Year's Eve,WB (NL),54500000,87500000,142000000,2011
Sex Tape,Sony,38500000,87500000,126000000,2014
Shaun the Sheep Movie,LGF,19400000,86800000,106200000,2015
Happy Feet Two,WB,64000000,86400000,150400000,2011
Unstoppable,Fox,81600000,86200000,167800000,2010
Sanctum,Uni.,23200000,85400000,108600000,2011
Train to Busan,WGUSA,2100000,85400000,87500000,2016
Into the Woods,BV,128000000,85100000,213100000,2014
Jack Ryan: Shadow Recruit,Par.,50600000,84900000,135500000,2014
The Iron Lady,Wein.,30000000,84900000,114900000,2011
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000,84400000,140100000,2010
Dumb and Dumber To,Uni.,86200000,83600000,169800000,2014
The Commuter,LGF,36300000,83600000,119900000,2018
American Made,Uni.,51300000,83500000,134800000,2017
The Thieves,WGUSA,686000,82800000,83486000,2012
Limitless,Rela.,79200000,82600000,161800000,2011
Wall Street: Money Never Sleeps,Fox,52500000,82300000,134800000,2010
Snowpiercer,RTWC,4600000,82200000,86800000,2014
How Long Will I Love U,WGUSA,747000,82100000,82847000,2018
Tiger Zinda Hai,Yash,5600000,81800000,87400000,2017
Safe House,Uni.,126400000,81700000,208100000,2012
Blended,WB,46300000,81700000,128000000,2014
Lights Out,WB (NL),67300000,81600000,148900000,2016
